Nom du club,Adresse email,Niveau,Région,Département ,Contacté,Relance,Réponse,Choix,Infos club,Consignes données,URL FFHB
"3mt",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/3mt/
"7 Saulx Et Perthois Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/7-saulx-et-perthois-handball/
"93 Elite Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/93-elite-handball/
"93 Elite Handball 2",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/93-elite-handball-2/
"A A E Meru Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/a-a-e-meru-handball/
"A C D E I J",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/a-c-d-e-i-j/
"A C S Jtekt Dijon",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/a-c-s-jtekt-dijon/
"A C Soissons Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/a-c-soissons-handball/
"A H A E Ailly Le Haut Clocher",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/a-h-a-e-ailly-le-haut-clocher/
"A J H Tsimkoura",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/a-j-h-tsimkoura/
"A L P E Hand Fumay",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/a-l-p-e-hand-fumay/
"A M S L Frejus",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/a-m-s-l-frejus/
"A O Gazelec Dijon",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/a-o-gazelec-dijon/
"A S A Vauzelles",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/a-s-a-vauzelles/
"A S Bretolienne",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/a-s-bretolienne/
"A S C A P P Ay S De M O N T B E L I A R D Hb",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/a-s-c-a-p-p-ay-s-de-m-o-n-t-b-e-l-i-a-r-d-hb/
"A S C Bonsecours",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/a-s-c-bonsecours/
"A S C L E Laignes H B",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/a-s-c-l-e-laignes-h-b/
"A S C Municipale Dijon",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/a-s-c-municipale-dijon/
"A S Cannes Hb",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/a-s-cannes-hb/
"A S Et Corpo Universite Montpellier Hand",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/a-s-et-corpo-universite-montpellier-hand/
"A S Giberville Hb",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/a-s-giberville-hb/
"A S Handball Cluny",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/a-s-handball-cluny/
"A S L Chemin Vert",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/a-s-l-chemin-vert/
"A S Monaco Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/a-s-monaco-handball/
"A S Police 94 Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/a-s-police-94-handball/
"A S Tonnerroise Hb",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/a-s-tonnerroise-hb/
"Aa Du Canton De Gace",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/aa-du-canton-de-gace/
"Aaaae Nouvion",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/aaaae-nouvion/
"Aaeec Ponts De Ce",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/aaeec-ponts-de-ce/
"Aaep Le Teilleul",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/aaep-le-teilleul/
"Abbeville E A L",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/abbeville-e-a-l/
"Abc Bordighera",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/abc-bordighera/
"Aber Benoit Hbc",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/aber-benoit-hbc/
"Abzac Us",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/abzac-us/
AC Boulogne-Billancourt,,National,Île-de-France,Hauts-de-Seine,Non,,,,,,
"Ac De Chiconi",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/ac-de-chiconi/
"Ac Douai Hand Ball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/ac-douai-hand-ball/
"Ac Romorantin Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/ac-romorantin-handball/
"Ac Seyssinet Handball",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/ac-seyssinet-handball/
"Acacs Club Sport",,,,, Non,,,,,,https://monclub.ffhandball.fr/clubs/acacs-club-sport/
